ablation,mean_auc,std_auc,mean_f1,fold_aucs
"A (FlatMLP, no graph)",0.7257409294214485,0.016222375160473222,0.7200713471106811,"[0.7371451260671034, 0.7448412698412699, 0.718233158531666, 0.6984286865431104, 0.7300564061240934]"
"B (Spatial only, 4 features)",0.551496770874017,0.018872412109591882,0.5873665832329038,"[0.5219376613063331, 0.5410714285714285, 0.5621218233158533, 0.5774576954069298, 0.5548952457695407]"
"C (Temporal+Spatial, no frequency)",0.726983517955168,0.027786531898117636,0.6171639336799407,"[0.6877109390510224, 0.7448412698412699, 0.7569584509883017, 0.6996373892022562, 0.7457695406929895]"
D (Lagged Pearson edges),0.834327850699591,0.03558084660554891,0.7961410878185776,"[0.844550327575938, 0.8599206349206349, 0.837232755143203, 0.7659145850120871, 0.8640209508460919]"
D2 (Ridge Granger edges),0.8301268694643538,0.05472524869258919,0.7956151794864784,"[0.8509033154655549, 0.8950396825396826, 0.8146430012101654, 0.733279613215149, 0.8567687348912167]"
E (No site/demographics),0.7318083330090168,0.02910948560287188,0.6689921748891487,"[0.6980345443716499, 0.7384920634920634, 0.7607906413876563, 0.6976228847703464, 0.7641015310233683]"
