epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,822.608,0.63124,0.40448,1.04703,0.99773,0.99442,0.99483,0.88531,0.55178,0.27956,1.08657,0.00643101,0.00643101,0.00643101
43,841.773,0.60846,0.39455,1.04181,0.95029,0.14271,0.20847,0.13297,2.68421,2.59757,4.44779,0.00628101,0.00628101,0.00628101
44,861.002,0.60488,0.39291,1.04347,0.99681,0.99403,0.99499,0.90904,0.4732,0.25294,1.02592,0.00612981,0.00612981,0.00612981
45,880.205,0.61052,0.4006,1.03961,0.99488,0.99401,0.99426,0.90788,0.47094,0.25548,1.04289,0.00597754,0.00597754,0.00597754
46,899.381,0.58543,0.38502,1.03128,0.99532,0.99403,0.99462,0.92024,0.46879,0.25601,1.03403,0.00582435,0.00582435,0.00582435
47,918.558,0.60085,0.38465,1.03183,0.60991,0.31258,0.38578,0.23673,2.25799,1.59768,3.70774,0.0056704,0.0056704,0.0056704
48,937.857,0.59156,0.38301,1.03016,0.99389,0.99416,0.99465,0.92331,0.43114,0.22921,1.01349,0.00551584,0.00551584,0.00551584
49,957.089,0.57112,0.36788,1.0206,0.61186,0.11316,0.14856,0.10567,2.71063,2.25815,4.65217,0.00536081,0.00536081,0.00536081
50,976.265,0.58057,0.37782,1.02555,0.99628,0.99333,0.99463,0.91889,0.47318,0.25767,1.06801,0.00520548,0.00520548,0.00520548
51,995.914,0.57095,0.36822,1.02567,0.99379,0.99129,0.9943,0.92649,0.44642,0.26105,1.03526,0.00505,0.00505,0.00505
52,1015.21,0.56569,0.36951,1.0213,0.94079,0.11325,0.16194,0.11346,3.04389,2.86099,5.04353,0.00489452,0.00489452,0.00489452
53,1034.33,0.5497,0.36079,1.01387,0.871,0.25912,0.41205,0.25617,2.0256,1.62798,3.18791,0.00473919,0.00473919,0.00473919
54,1053.42,0.55465,0.35403,1.01802,0.99528,0.99452,0.99481,0.93096,0.42077,0.23788,1.00039,0.00458416,0.00458416,0.00458416
55,1072.53,0.55372,0.35808,1.01135,0.99685,0.99419,0.9949,0.91936,0.44737,0.24283,1.03561,0.0044296,0.0044296,0.0044296
56,1091.63,0.55455,0.35356,1.01386,0.9966,0.99497,0.99497,0.94158,0.405,0.23838,0.98795,0.00427565,0.00427565,0.00427565
57,1110.76,0.55147,0.35853,1.01767,0.99689,0.99384,0.995,0.93105,0.41241,0.23315,0.99784,0.00412246,0.00412246,0.00412246
58,1129.88,0.53471,0.35125,1.00783,0.99564,0.99481,0.9949,0.93311,0.42947,0.23245,1.02127,0.00397019,0.00397019,0.00397019
59,1149,0.54071,0.34973,1.00947,0.99192,0.98375,0.99419,0.86448,0.631,0.32095,1.18888,0.00381899,0.00381899,0.00381899
60,1168.4,0.53301,0.34399,1.00202,0.9954,0.98522,0.9944,0.84734,0.69265,0.3258,1.23879,0.00366899,0.00366899,0.00366899
61,1187.52,0.52092,0.33732,1.00316,0.92291,0.11635,0.17603,0.12399,2.90216,2.84324,4.711,0.00352037,0.00352037,0.00352037
62,1206.62,0.52728,0.33897,1.00394,0.99679,0.99497,0.99489,0.94033,0.40265,0.21081,1.00133,0.00337325,0.00337325,0.00337325
63,1225.66,0.51008,0.3307,0.99268,0.86728,0.20833,0.27098,0.1941,2.56467,1.90695,4.23908,0.00322778,0.00322778,0.00322778
64,1244.75,0.5092,0.32902,0.99507,0.99822,0.99418,0.995,0.94373,0.40548,0.22149,1.00306,0.00308412,0.00308412,0.00308412
65,1263.84,0.50674,0.32771,0.99514,0.99646,0.99497,0.99499,0.94191,0.3901,0.22307,1.00669,0.00294239,0.00294239,0.00294239
66,1282.92,0.50342,0.32215,0.99741,0.99675,0.99466,0.99497,0.94924,0.36349,0.19908,0.97117,0.00280275,0.00280275,0.00280275
67,1302.29,0.49575,0.31574,0.98654,0.99539,0.99448,0.99497,0.945,0.37933,0.22573,0.98939,0.00266532,0.00266532,0.00266532
68,1321.38,0.48934,0.31783,0.98534,0.99612,0.99497,0.99463,0.95489,0.34483,0.21029,0.96718,0.00253024,0.00253024,0.00253024
69,1340.49,0.49633,0.31591,0.98598,0.99695,0.99488,0.99491,0.95401,0.357,0.21018,0.9711,0.00239766,0.00239766,0.00239766
70,1359.62,0.49011,0.31039,0.9845,0.99512,0.99497,0.99463,0.94278,0.38514,0.20764,0.99946,0.00226769,0.00226769,0.00226769
71,1378.71,0.48394,0.31459,0.98227,0.64979,0.27096,0.34724,0.22839,2.0981,2.01349,3.30272,0.00214046,0.00214046,0.00214046
72,1397.81,0.47625,0.3069,0.98154,0.99683,0.9949,0.99499,0.93629,0.40658,0.21093,1.0074,0.00201611,0.00201611,0.00201611
73,1416.91,0.47905,0.31112,0.98124,0.99818,0.99501,0.99498,0.95335,0.36322,0.18744,0.96285,0.00189475,0.00189475,0.00189475
74,1436.02,0.47213,0.30779,0.97987,0.99714,0.99497,0.99498,0.95101,0.35256,0.1946,0.96364,0.00177651,0.00177651,0.00177651
75,1455.12,0.46389,0.29964,0.97519,0.9961,0.99439,0.9948,0.94945,0.36433,0.19536,0.97971,0.00166149,0.00166149,0.00166149
76,1474.22,0.46453,0.30091,0.9744,0.99607,0.99497,0.99496,0.96016,0.32507,0.1882,0.95836,0.00154982,0.00154982,0.00154982
77,1493.33,0.46596,0.29867,0.97656,0.99826,0.99454,0.995,0.96238,0.32104,0.18517,0.95558,0.00144161,0.00144161,0.00144161
78,1512.41,0.45862,0.29836,0.97402,0.99759,0.99497,0.995,0.96202,0.32634,0.18692,0.96506,0.00133695,0.00133695,0.00133695
79,1531.51,0.45665,0.29983,0.9753,0.99721,0.99303,0.995,0.96121,0.32722,0.18656,0.95556,0.00123596,0.00123596,0.00123596
80,1550.62,0.44797,0.29326,0.96928,0.99812,0.99483,0.995,0.95876,0.32001,0.18611,0.95779,0.00113873,0.00113873,0.00113873
